chart_week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2026-01-15,161,spotify:track:6SKwQghsR8AISlxhcwyA9R,Bruno Mars,Marry You,Elektra (NEK),161,-1,1,8994171
2026-01-15,162,spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn,Rihanna,Don't Stop The Music,Def Jam Recordings,156,162,12,8932155
2026-01-15,163,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,86,141,183,8916564
2026-01-15,164,spotify:track:3A02hWQ2ebOFDWSbAMNnpw,Madison Beer,bittersweet,Epic/Sing It Loud,146,146,7,8904669
2026-01-15,165,spotify:track:0YVh3SyU4dS7jOWIFQ1tTf,Chris Grey,LET THE WORLD BURN,Chris Grey,151,151,6,8892436
2026-01-15,166,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,154,143,8868839
2026-01-15,167,spotify:track:5EcG8eMMlwkHRVa4aTR1qd,Rihanna,Breakin' Dishes,Def Jam Recordings,39,149,41,8853422
2026-01-15,168,spotify:track:0InIeZW4P6VO7dUGRM4AKH,The Marías,Sienna,Nice Life/Atlantic,89,144,18,8833709
2026-01-15,169,spotify:track:5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,Artist Partner,5,161,84,8829192
2026-01-15,170,spotify:track:3fjmSxt0PskST13CSdBUFx,Linkin Park,Somewhere I Belong,Warner Records,138,-1,2,8810300
2026-01-15,171,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,196,396,8783625
2026-01-15,172,spotify:track:1lJOLxDS8kS2rihrqezMcv,EsDeeKid,Century,Lizzy Records,172,190,2,8741738
2026-01-15,173,spotify:track:4bJygwUKrRgq1stlNXcgMg,t.A.T.u.,All The Things She Said,Interscope,173,-1,1,8707269
2026-01-15,174,spotify:track:1WwQ714xuznu44tEnkem2g,"HAVEN., Kaitlin Aragon",I Run,Isekai / Broke / AAO,101,178,7,8694348
2026-01-15,175,spotify:track:54PbBpquVfhfrwRwvjSXbI,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),Artist Partner,39,-1,64,8689773
2026-01-15,176,spotify:track:42VUCXerQ5qTr4Qp6PhKo4,Sabrina Carpenter,Tears,Island Records,2,134,19,8676441
2026-01-15,177,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,167,113,8676149
2026-01-15,178,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",40,181,105,8674970
2026-01-15,179,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Summertime Sadness,Urban,83,197,153,8674190
2026-01-15,180,spotify:track:5H1sKFMzDeMtXwND3V6hRY,BLACKPINK,JUMP,YG Entertainment,1,159,26,8668143
